Address,Room,Bath,Property_type,Bedrooms_available,Available_from,Available_for,Sharing_with,Owner_occupied,Preferences,Date_entered/renewed,Property_views,Latitude,Longitude,Pre_processed_desc,Desc_length,Price_per_month,County,adjective_counts
"Killeshin Road, Graiguecullen, Co. Carlow",Single Room,Shared Bathroom,Apartment,1,Immediately,6 Months,2,No,Male / Female,08/04/2023,"1,206",,,quiet country property seek location 3 mile center carlow town many shop school public transport house renovate high standard rent include tv broadband bin transport preferable information call I,296,600,Carlow,4
"Apartment 39, Virginia Hall, Belgard Square, Belga, Dublin 24",Single Room,Shared Bathroom,Apartment,1,"Apr 23rd, 2023",1 Year +,4,No,Male / Female,14/04/2023,"1,024",,,39 virginia hall belgard squarew tallaght dublin24 d24x2n4 available immediately furnishedye leaseminimum 1 year description delighted offer stunning four room three double room one single room every room come heater one en suite large main bathroom many storage area virginia hall seek location square shopping centre simply across street get take minute 500 meter away n81 connect m50 direction north south bind well blessington citywest local amenity include tu dublin campus tallaght university hospital luas red line connect point contact I 0877839453,771,680,Dublin 24,10
"7 Tudor Lawn, Newcastle, Co. Galway",Double Room,En-suite,House,1,Immediately,1 Year,2,Yes,Male / Female,10/04/2023,455,,,double roomensuite standard double room available 10th april rent 5 bed house large kitchen equip mod con 300 mb broadband wifi 2 bathroom regular city center bus service direct city centre 15 min walk nuig room sole use picture add tomorrow hopefully electricity heating internet refuse bill include rent 4 week deposit 1 week rent advance please ring jim 0871275655 9 6 pm,485,760,Galway,7
"Lakeview, Castlebar, Co. Mayo",Single Room,En-suite,House,1,Immediately,6 Months,2,Yes,Male / Female,13/04/2023,386,53.868348350000005,-9.301742526511838,hoste power agency provide affordable accommodation ireland since 2014 proud advertise fully furnish comfortable private room house equip modern convenience share welcome host bill electricity gas etc wifi include rent bedding provide book room fast way book room please go website alternatively please reply ad detailed self description room ref 32762,550,500,Mayo,8
"Church Road, Greystones, Co. Wicklow",Double Room,Shared Bathroom,House,1,Immediately,6 Months,2,Yes,Male / Female,21/03/2023,908,53.1326546,-6.0922829,hoste power agency provide affordable accommodation ireland since 2014 proud advertise fully furnish comfortable private room house equip modern convenience share welcome host bill electricity gas etc wifi include rent bedding provide book room fast way book room please go website alternatively please reply ad detailed self description room ref 38257,549,720,Wicklow,8
"11 pipers court mullingar, Mullingar, Co. Westmeath",Single Room,Shared Bathroom,House,1,Immediately,5 Months,3,No,Male / Female,06/04/2023,"1,163",,,4 bedroom house 1 bedroom available rent modern house gate private estate good location short 5 minute walk mullingar town centre shop filling station butcher 2 minute walk estate 3 male parking available deposit require,273,375,Westmeath,7
"Mariavilla, Maynooth, Co. Kildare",Double Room,En-suite,House,1,"Apr 29th, 2023",6 Months,2,No,Male / Female,04/04/2023,591,53.38980285,-6.588658746362859,available six month spacious room bathroom new large bright house share two man 40 common area kitchen living room utility room storage room balcony 10 minute walk main street fee monthly rent payable advance plus deposit amount monthly rent utility share gas electricity internet reference require no pet house cooker microwave oven refrigerator dishwasher washing machine tumble dryer parking space please send I e mail information,614,830,Kildare,8
"Abbey View, Campile, Co. Wexford",Double Room,En-suite,House,1,Immediately,6 Months,2,Yes,Male / Female,07/04/2023,82,,,hoste power agency provide affordable accommodation ireland since 2014 proud advertise fully furnish comfortable private room house equip modern convenience share welcome host bill electricity gas etc wifi include rent bedding provide book room fast way book room please go website alternatively please reply ad detailed self description room ref 33064,550,600,Wexford,8
"St. Raphael's Avenue, Celbridge, Co. Kildare",Double Room,Shared Bathroom,House,1,"May 6th, 2023",6 Months,2,Yes,Male / Female,06/04/2023,177,53.3383429,-6.5519619,hoste power agency provide affordable accommodation ireland since 2014 proud advertise fully furnish comfortable private room house equip modern convenience share welcome host bill electricity gas etc wifi include rent bedding provide book room fast way book room please go website alternatively please reply ad detailed self description room ref 32107,549,720,Kildare,8
"Salvador Place, Western Road, Co. Cork",Single Room,En-suite,House,1,"Apr 16th, 2023",5 Months,4,No,Male / Female,13/04/2023,"2,195",,, minimum 5 month possibility long term view property highly recommended large luxurious bedroom contain double bed beautiful bedroom furniture comfortable workstation area wall mount tv en suite bathroom power shower house luxurious quiet non party non smoking house no house guest overnighter would suit conservative quiet tenant private secure parking include utility bill service charge gas central heating multi channel free air tv service bedroom sitting room tv license broadband waste collection regular cleaning house etc beautifully appoint house modern convenience locate western road within 2 min walk university college cork house also short walk tyndall institute cork county hall cork university hospital mercy university hospital bon secours hospital city centre lovely back garden patio area approx 10 min walk city centre 208 220 bus stop direction outside house really cosy house great area live,1153,,Cork,20
"Wood Road, Castleconnell, Limerick, Castleconnell, Co. Limerick",Single Room,Shared Bathroom,House,1,Immediately,1 Year,1,Yes,Male / Female,10/04/2023,565,,,the house 200 year old cottage countryside yet 6k university limerick 15 minute drive limerick city also 5 minute motorway cottage cozy chill environment full charm character kitchen brand new new appliance bedroom good size duvet linen provide also 3 different area chill,415,650,Limerick,7
"5 Ossory Road, Dublin 3, East Wall, Dublin 3",Double Room,Shared Bathroom,House,1,Immediately,1 Year,3,No,Male,11/04/2023,"2,968",53.3561062,-6.2385044,we look person sharing house near city center dart station bus station double room double bed easy go guy tidy quiet e mail I visit thank,215,800,Dublin 3,6
"57 An Radharc, Maryborough Ridge, Douglas, Cork, Douglas, Co. Cork",Double Room,En-suite,House,1,"Apr 23rd, 2023",6 Months,2,Yes,Male / Female / +1 Person,13/04/2023,453,51.8628507,-8.4159822,the lease term flexible luxury 35 square meter en suite room walk wardrobe available douglas rent euro 1400 per month bill not include one month rent deposit require house perfect condition parking available look quiet clean male female share 2 professional girl please email I short self introduction previous landlord reference interested,469,,Cork,12
"11 The Close, An Glasan, Greenville Lane, Enniscorthy, Co. Wexford",Single Room,Shared Bathroom,House,1,"May 1st, 2023",1 Year,1,Yes,Female,08/04/2023,220,,,room available glasan greenville lane enniscorthy new house new development close amenity house owner occupy primary school teacher female one small house dog available may 1st possibility extend lease contact jacqui information,321,460,Wexford,8
"Connell drive, Newbridge, Co. Kildare",Double Room,Shared Bathroom,House,1,"Apr 14th, 2023",1 Month,2,No,Male / Female,12/04/2023,200,53.1817734,-6.785344,available one month double bedroom share house residential area wardrobe drawer room lamp share kitchen bathroom two toilet share live space extra room office space electricity bill separate please let I know reason renting job occupation etc,322,650,Kildare,4
"Ros Fearna , Murroe, Co. Limerick",Single Room,Shared Bathroom,House,1,Immediately,6 Months,1,Yes,Male / Female,12/04/2023,552,,,single room available april 24th share bathroom semi detatche 3 bedroom house murroe 15 min ul raheen limerick city 33 year old work professional look clean quiet responsible housemate rent 400 p 1 month rent deposit flexible duration tenancy length time accommodation require electricity broadband bill include oil bill exclude monday friday let transport would require please enquire suitable interested e mail I tell I bit thank interest,616,400,Limerick,8
"Avoca House, 110a Vernon Avenue, Dublin 3, Clontarf, Dublin 3",Double Room,En-suite,House,3,Immediately,1 Year +,3,No,Male / Female / +1 Person,14/04/2023,599,,,very large double bedroom en suite double bedroom available fully furnished serviced property modern build high energy rate home collection high standard large ensuite double bedroom along ample kitchen living utility storage private south west face rear garden parking two car front property area house newly furnish within high end furnishing brand new bed mattress fully stock kitchen design lead interior throughout house locate heart clontarf one seek road dublin vernon avenue stone throw resident enjoy good outdoor suburban life seafront cycle walk along dollymount beach bull island host amenity offer nearby historic st annes park combine set access unparalleled seek location city centre easily accessible bike foot rail bus car whist howth head short cycle coast road addition house close fine local restaurant pub shop amenity anyone would need support great healthy lifestyle include local hot spot bath clontarf harry byrnes yacht clontarf castle close nolans supermarket array coffee shop hardware amenity complimentary regular housekeeping service provide along broadband waste service include price,1580,,Dublin 3,28
"Cregg, Oughterard, Co. Galway",Double Room,En-suite,House,1,Immediately,6 Months,2,Yes,Male / Female,21/03/2023,238,53.42076615,-9.322774885858362,hoste power agency provide affordable accommodation ireland since 2014 proud advertise fully furnish comfortable private room house equip modern convenience share welcome host bill electricity gas etc wifi include rent bedding provide book room fast way book room please go website alternatively please reply ad detailed self description room ref 23844,550,560,Galway,8
"Apartment 3, The Forge Bakers Corner, Rochestown A, Kill O' The Grange, Co. Dublin",Double Room,Shared Bathroom,Apartment,1,Immediately,1 Year,2,No,Male / Female,10/04/2023,"3,319",,,very close amenity bus 46a75 65 7d grocery shop super value lidl tesco garden round iadt college park cabinteely park 10min dun loaghaire,193,750,,3
"Tinvane, Carrick-on-Suir, Co. Tipperary",Double Room,Shared Bathroom,House,1,Immediately,6 Months,2,Yes,Male / Female,11/04/2023,63,52.35520135,-7.39108110076805,hoste power agency provide affordable accommodation ireland since 2014 proud advertise fully furnish comfortable private room house equip modern convenience share welcome host bill electricity gas etc wifi include rent bedding provide book room fast way book room please go website alternatively please reply ad detailed self description room ref 50082,549,600,Tipperary,8
"Ballymah, Waterfall, Co. Cork",Double Room,Shared Bathroom,House,1,"Apr 16th, 2023",1 Year,1,Yes,Female,13/04/2023,93,,,female no exception 2 3 night mid week preferably double room sink house old lady warm modern house street parking quiet safe gate property close bishopstown need car rent negotiable depend many night stay,316,4,Cork,8
"Greenfields Road, Newcastle, Co. Galway",Single Room,Shared Bathroom,House,1,Immediately,1 Year +,4,Yes,Male / Female,06/04/2023,"1,213",53.286473,-9.0717246,room let house share student work people quiet house mainly final year postgraduate phd student situate opposite entrance corrib student village house walk distance nuig include rent internet broadband bin extra bill pay esb oil winter month rent 450 per calendar month,400,450,Galway,1
"Meenogahane Pier, Causeway, Co. Kerry",Double Room,Shared Bathroom,House,1,Immediately,6 Months,2,Yes,Male / Female,21/03/2023,90,,,hoste power agency provide affordable accommodation ireland since 2014 proud advertise fully furnish comfortable private room house equip modern convenience share welcome host bill electricity gas etc wifi include rent bedding provide book room fast way book room please go website alternatively please reply ad detailed self description room ref 29881b,551,500,Kerry,8
"Hunterswood Sallins , Sallins, Co. Kildare",Double Room,Shared Bathroom,Apartment,1,Immediately,1 Year,2,No,Male,07/04/2023,805,,,double bedroom 3 bedroom apartment hunterswood sallin close amenity 630 euro month shared bill 1 month deposit front,154,630,Kildare,3
"Dun Na Coiribe, Galway City Centre",Double & Twin Room,Shared Bathroom,House,3,"May 25th, 2023",6 Months,5,No,Male / Female,14/04/2023,"1,633",,,single twin room available property summer winter month central house share student residential area close nuig uhg weekly rate include bill waste heating electricity unlimited wi fi 247 assistance fully furnished house email detail apply accommodation security deposit booking fee require booking time parking facility provide property,512,860,Galway,6
"13 The Forge, Railway Street, Dublin 1, Dublin 1",Twin Room,En-suite,Apartment,1,"Apr 17th, 2023",1 Year +,3,No,Male,10/04/2023,"1,080",,,permanent accomodation available male rent sharing room 1 indian student dublin city centre not single room twin single bed room ensuite bathroom move date immediately rent 800 deposit 800 bills electricity wifi gas not include share housemate close dame street college green lord edward street bus stop dublin bike stand 15 20mins walk tara street 5mins walk connolly train station lidl dunnes tesco aib bank 5 10mins away 10 minute walk dbs tcd nci one interested please dm call detail view siddhesh gupta 353899773720,685,800,Dublin 1,7
"Apartment 81, Thornfield Square, Ninth Lock Road, Dublin 22",Double Room,Shared Bathroom,Apartment,1,Immediately,1 Year +,2,Yes,Female,12/04/2023,833,,,a double room available rent heart clondalkin village 300 away mill shopping centre close bus route number 13 g1 bus route 24 hour service open sort people backgrounds couple husband wife 5 year old son free internet no bin charge bill except electricity divide fairly among tenant,439,500,Dublin 22,6
"Parklands Place, Saggart, Co. Dublin",Double & Twin Room,Shared Bathroom,House,2,Immediately,1 Year +,1,Yes,Male / Female,07/04/2023,906,53.2874019,-6.4351558,one spacious large room available newly build parkland estate room king size bed large wardrobe study table chair house locate 5mins luas stop perfect citywest business park commute along red luas line walk distance citywest shopping center citywest hotel cooking gas hob available vegetarian cooking allow house no meat no fish no egg allow cooking ground floor large kitchen dining lounge area decent sized garden one twin room also available share one person rent double room 900p utility bill extra twin room share one person 600 utility bill extra,740,600,,13
"Solomons Court, Letterkenny, Co. Donegal",Double Room,Shared Bathroom,House,1,"Apr 15th, 2023",1 Year,3,Yes,Male / Female / +1 Person,13/04/2023,301,,,1 extra large double room sole access downstairs toilet sink well maintain quiet house seek residential area rent aaa550 single use share kitchen bathroom dining sit area combine utility bill share deposit not use lieu last month rent,347,550,Donegal,6
"Station Manor, Portmarnock, Co. Dublin",Double Room,Shared Bathroom,House,1,"Apr 29th, 2023",1 Year +,3,No,Female,09/04/2023,530,,,room rent north dublin area large double room new build great location next dart station local amenity share 3 work professional ideally someone similar room available 29th april viewing hold interested get back little information email,376,850,,9
"Treepark Road, Kilnamanagh, Dublin 24",Double Room,En-suite,House,1,"Apr 30th, 2023",6 Months,2,Yes,Female,21/03/2023,519,53.3002345,-6.3568007,hoste power agency provide affordable accommodation ireland since 2014 proud advertise fully furnish comfortable private room house equip modern convenience share welcome host bill electricity gas etc wifi include rent bedding provide book room fast way book room please go website alternatively please reply ad detailed self description room ref 33908,562,1040,Dublin 24,8
"Willow Park Athlone, Athlone, Co. Westmeath",Single Room,En-suite,House,1,Immediately,1 Year,3,No,Female,13/04/2023,637,53.4165865,-7.9062131,4 bedroom house available ait student bin include deposit 400 7 min walk college,102,500,Westmeath,1
"41 Rosemount, Clongower, Thurles, Thurles, Co. Tipperary",Double Room,Shared Bathroom,House,1,Immediately,1 Year +,2,Yes,Male / Female,11/04/2023,974,,,1 double bedroom share bathroom rent include waste collection broadband fee electricity oil additional cost house immaculate locate safe quiet neighborhood less 15 min walk etb training archerstown less 10 min walk distance thurle shopping center less 10 min drive m8 motorway garden rear large open public area front no text message please call 5 30 weekday anytime weekend thank,497,400,Tipperary,7
"Brandondale, Graiguenamanagh, Co. Kilkenny",Single Room,Shared Bathroom,House,1,Immediately,6 Months,2,Yes,Female,21/03/2023,280,52.53427425,-6.959626691632598,hoste power agency provide affordable accommodation ireland since 2014 proud advertise fully furnish comfortable private room house equip modern convenience share welcome host bill electricity gas etc wifi include rent bedding provide book room fast way book room please go website alternatively please reply ad detailed self description room ref 36473,550,400,Kilkenny,8
"Park Road, Killarney, Co. Kerry",Single & Double Room,Shared Bathroom,House,2,Immediately,1 Year,5,No,Male / Female,14/04/2023,747,52.0605589,-9.4834877,one double room one single room let modern quiet house house short walk killarney town non smoking house no pet,154,460,Kerry,5
"Cuar Na Lus, Rahoon, Co. Galway",Double Room,Shared Bathroom,House,1,"May 15th, 2023",6 Months,2,Yes,Female,21/03/2023,"1,005",53.2766844,-9.08710004502908,hoste power agency provide affordable accommodation ireland since 2014 proud advertise fully furnish comfortable private room house equip modern convenience share welcome host bill electricity gas etc wifi include rent bedding provide book room fast way book room please go website alternatively please reply ad detailed self description room ref 11139b,551,520,Galway,8
"Blackhall Green, Stoneybatter, Dublin 7",Double Room,Shared Bathroom,Apartment,1,"May 28th, 2023",9 Months,2,No,Male / Female,13/04/2023,"1,149",,,not available end may locate stoneybatter dublin 7 near dit grangegorman campus trinity college walking distance also near phoenix park detail exact move date current housemate clear time frame leave share kitchen sitting room area one male 30 male 20 one study professional exam beyond work hour keep final year study lecture weekend online not place party visitor desk belong current housemate hence need share bathroom one sky tv internet 25 per month electricity split 3 way must clean go help weekly deep clean apartment close door silently possible usual reference require write brief description long want stay current schedule etc,955,825,Dublin 7,14
"2 Tobar Phadraig Sli na Manach, Mungret, Co. Limerick",Single Room,Shared Bathroom,House,1,"May 1st, 2023",1 Year,2,Yes,Male / Female,12/04/2023,"1,492",,,fantastic spacious single room new a2 rate house across mungret park 3 5 km mary 5 min drive raheem business park 20 min walk university hospital wifi bin include rent electricity split evenly,244,470,Limerick,4
"Ballindeasig, Minane Bridge, Minane Bridge, Co. Cork",Double Room,Shared Bathroom,House,1,"May 1st, 2023",6 Months,2,Yes,Male / Female,06/04/2023,234,,,double room rent lot storage clean professional home quiet country area transport need 30 minute walk beach room furnish bed dresser locker 500 p month monday friday inclusive bill one month deposit require owner occupy approx 7 mile carrigaline 9 mile kinsale,363,500,Cork,3
"22 Tullyhall Drive, Lucan, Lucan, Co. Dublin",Double Room,En-suite,House,1,Immediately,1 Year +,3,Yes,Female,07/04/2023,677,53.33558175,-6.43951335,double room en suite attic conversion house owner occupy,75,875,,1
"Hillside House, Kiltullagh, Glenamaddy, Castlerea, Glenamaddy, Co. Galway",Double Room,Shared Bathroom,House,1,"May 1st, 2023",1 Year +,1,Yes,Male / Female / +1 Person,06/04/2023,284,,,this house less 5 minute drive glenamaddy kilkerrin approximately 30 minute walk twenty five minute roscommon hour drive galway castlebar athlone tenant live owner dog room single double owner help arrange room liking one bathroom share bill not include,409,200,Galway,4
"Malin Street, Moville, Co. Donegal",Double Room,Shared Bathroom,House,1,Immediately,6 Months,2,Yes,Male / Female,21/03/2023,274,,,hoste power agency provide affordable accommodation ireland since 2014 proud advertise fully furnish comfortable private room house equip modern convenience share welcome host bill electricity gas etc wifi include rent bedding provide book room fast way book room please go website alternatively please reply ad detailed self description room ref 27547,561,280,Donegal,8
"Clifton, Grange, Co. Cork",Double Room,En-suite,House,1,"May 27th, 2023",7 Months,4,Yes,Male / Female,08/04/2023,"1,254",51.8672135,-8.4531762,double ensuite room available recently renovate house grange area rent 550 p month bill not include rent price share 4 professional late 20 early 30 3 female 1 male fully kitte kitchen sitting room share 4 tenant 3 min walk 206 bus supervalu aldi room available 27th may 2023 3rd january 2024 house owner occupy however living kitchen space not share tenant please share information email,518,550,Cork,7
"Cortolvin Road, Monaghan, Co. Monaghan",Twin Room,Shared Bathroom,House,1,Immediately,6 Months,2,Yes,Male / Female,21/03/2023,549,,,hoste power agency provide affordable accommodation ireland since 2014 proud advertise fully furnish comfortable private room house equip modern convenience share welcome host bill electricity gas etc wifi include rent bedding provide book room fast way book room please go website alternatively please reply ad detailed self description room ref 25496,562,400,Monaghan,8
"9 Straffan Avenue Strraffan Woods Maynooth, Maynooth, Co. Kildare",Double Room,Shared Bathroom,House,1,Immediately,1 Year +,1,Yes,Male / Female,06/04/2023,"1,423",,,double room available 13th march 15 min walk nuim 10 minute walk train station access dublin city I 2 friendly jack russells modern well maintain house garden fully equip kitchen bill include arrange video tour view room please email text,322,650,Kildare,5
"59 Oak Avenue, Royal Oak, Dublin 9, Santry, Dublin 9",Single & Double Room,Shared Bathroom,House,3,"Apr 24th, 2023",1 Year,2,No,Female,09/04/2023,915,53.4019637,-6.23651524614058,4 bedroom house locate sentry 15 min walk omni shopping centre5 min drive dublin airport 20 min bus city centre bus 16413327 room pay monthly bill 200 deposit please email information,246,600,Dublin 9,1
"Larkhill Road, Santry, Dublin 9",Double Room,Shared Bathroom,House,1,Immediately,6 Months,1,Yes,Male / Female,11/04/2023,910,53.38416555,-6.245492949999999,quiet cosy house centrally locate close dcu st patrick college beaumont hospital roughly three mile city centre airport ten minute away bus omni shopping centre five minute property lidl tesco cinema starbuck numerous restaurant gym barber hairdresser penny bus stop thirty foot away get town half hour centra shop chinese chipper less two minute walk away also look quiet respectable sensible non party animal person share house parking driveway available please note alcohol party free home,677,750,Dublin 9,8
"5 Brookfield, Carnew, Arklow, Shillelagh, Co. Wicklow",Single Room,Shared Bathroom,House,1,Immediately,3 Months,3,Yes,Male / Female,09/04/2023,304,,,150 per week include bill live one felame 2 kid age 9 11 must ok animal,129,600,Wicklow,1
"98 The View, Saint Wolstan's Abbey, Celbridge, Naa, Celbridge, Co. Kildare",Single Room,Shared Bathroom,House,1,Immediately,1 Year +,1,Yes,Female,02/04/2023,362,,,we permanent accommodation female single room separate bathroom 3 min walk distance bus stop supervalu tesco 7kilometer maynooth university 20 min walk train station rent600 include bill,241,600,Kildare,3
"St Patrick's Avenue, Galway City, Co. Galway",Single & Twin Room,Shared Bathroom,House,2,"May 5th, 2023",6 Months,2,No,Male / Female / +1 Person,14/04/2023,"2,323",53.275089,-9.0478813,single twin room city centre available start may 2023 self catering shared accommodation ideal smart woking student unlimited wi fi connection house fully furnish common area share guest central eyre square quiet location no smoking no party no night guest policy apply flexible term condition apply short checkout notice require security deposit booking fee require booking time application accept email,596,860,Galway,11
"14 Shandon Crescent, Dublin 7, Phibsborough, Dublin 7",Double Room,Shared Bathroom,House,1,Immediately,1 Year,2,Yes,Male / Female,11/04/2023,"1,132",53.36438125,-6.28074735,double room available 950 month incl bill priority give monday friday stay 700 month incl bill two quiet tidy professional look share mid terrace house like minded individual spacious living room dining room kitchen shared bathroom additional downstairs toilet large garden shed space bike storage site gym city centre within walk distance luas green line 1 minute away several bus route serve area please email brief description arrange viewing owner occupy,596,950,Dublin 7,10
"7b, Upper Dublin Hill, Blackpool, Co. Cork",Single Room,Shared Bathroom,Apartment,1,Immediately,11 Months,3,No,Male / Female,11/04/2023,542,,,large double room available modern fully furnish 3 bedroom townhouse situate 14 mile blackpool shopping centre less 2 mile cork city centre property include kitchen dining area large living room bathroom bath separate shower enclose street parking parking space tenant,342,550,Cork,6
"Fort Hill, Rochestown, Co. Cork",Single Room,En-suite,Apartment,1,Immediately,6 Months,1,Yes,Male / Female,04/04/2023,"1,284",51.8625139,-8.4075372,monday friday let room use weekend,66,660,Cork,0
"Summer Street North, Dublin 1",Double Room,Shared Bathroom,House,1,"Apr 15th, 2023",3 Months,1,No,Female,12/04/2023,"2,781",53.357185,-6.2519617,now viewing walk distance city centre large double bedroom spacious house garden house 110m2 bright open plan living room kitchen separate utility area two newly refurbish bathroom one free stand bath yoga stretch room garden vegetarian house suitable like minded person appreciate space tranquility bedroom available 4 5 x 4 overlook garden large build wardrobe rent 1050euro pm bill 125euro pm reference deposit require location 10 min walk ifsc docklands station oconnell street trinity 10mins bike walking 25min dublin bike station locate end street,738,,Dublin 1,11
"11 Elder Heath View, Dublin 24, Bohernabreena, Co. Dublin",Double Room,En-suite,House,1,Immediately,1 Year,3,Yes,Female,11/04/2023,493,,,double room private bathroom rent tallaght non smoking woman house locate 5 min bus stop 20 min walk luas shopping centre,182,880,,2
"D22EP20, Clondalkin, Dublin 22",Double Room,Shared Bathroom,House,1,Immediately,1 Year +,3,Yes,Male / Female,08/04/2023,"2,336",,,close amenity bus service clondalkin village shop within walk distance 2 room available spacious double bedroom aaaaaaaaaaaasaaaaa180pw single bedroom aaaaaaaaaaaasaaaaa130pw reference require rent include bill prefare point contact mobile 0861689465 phone call email not reply,366,720,Dublin 22,5
"11 Limelawn row, Clonsilla, Dublin 15",Double Room,En-suite,House,1,Immediately,3 Months,3,No,Male / Female / +1 Person,10/04/2023,350,,,room rent clonsilla 3 bedroom house sharing 3 young professional 3 male room charge week week basis monthly also possible available mid april onwards room contain queen bed bed storage storage beside bed 2 build wardrobe full ensuite shower locate 2 min walk near bus stop 12 min walk clonsilla train station 15 min walk blanchardstown shopping centre 7 min walk lidl many facility available within 5 min walk e g barber dentist gp car parking space also available house 3 bathroom 1ensuite living room kitchen price include bill cover super high speed wifi gas electricity bin dryer washing machine dishwasher available use house large garden,842,1216,Dublin 15,13
"Castlehouse, Coolbanagher, Emo, Portlaoise, Emo, Co. Laois",Double Room,En-suite,House,1,"May 1st, 2023",1 Year +,1,Yes,Male / Female,04/04/2023,599,,,beautiful deluxe large bright room available modern refurbished country house beautiful view room peaceful setting country walk activity doorstep mod con incl high speed broadband satellite tv printing office desk stream music service private site parking electric gate room ensuite toilet shower individual utility bill include within 10 min driving distance portlaoise 5 min motorway,493,650,Laois,10
"Whitethorn ,Palmerstown ,Dublin 20, Palmerstown, Dublin 20",Single Room,Shared Bathroom,House,1,"Apr 24th, 2023",1 Year +,2,Yes,Male / Female,10/04/2023,115,53.3444864,-6.3820153969776605,single room rent single bed palmerstown dublin 20 900 euro per month include bill no hide extra available 24th april 2023 6 km city center area safe quiet service 26 g2 bus dublin city center 76 bus tallaght 18 bus ballsbridge 7 minute walk liffey valley shopping center house fully equip high speed fibre broadband room one house occupy one male work home bathroom share electric shower bath one cat one dog house already no pet allow no time waster,654,900,Dublin 20,8
"Renville Village, Oranmore, Co. Galway",Double Room,En-suite,House,1,"Apr 21st, 2023",1 Year,1,Yes,Male / Female,07/04/2023,705,,,large room rent en suite 3 bedroom house share one house beside park wood sea 5 minute drive oranmore village house comfortable peaceful good internet would suit someone look nice place respectful tidy non smoker,332,600,Galway,7
"Burnia Virginia Cavan , Killinkere, Co. Cavan",Double Room,Shared Bathroom,House,1,Immediately,1 Year +,1,Yes,Male / Female,11/04/2023,161,,,beautiful lake view house double room rent bin wifi include rent,98,700,Cavan,2
"Apartment 26, The Watchtower, Clancy Quay, Parade , Inchicore, Dublin 8",Double Room,En-suite,Apartment,1,"Apr 23rd, 2023",1 Year,2,No,Male / Female,11/04/2023,796,,,large sunlit en suite available dublin 8 great location building two year old bedroom look irish war memorial park corner unit plenty sun plant gym include rent building rooftop bbq work cubicle also available complex reservation additional parking space available well additional charge need washer dryer dishwasher unit please know need reference work detail per management addition add lease need pay deposit utility electric wifi professional couple mid thirty work office home keep busy schedule enjoy travel hike meet new people come showing chat cheer,869,,Dublin 8,11
"bru na gruadan, Castletroy, Co. Limerick",Double Room,Shared Bathroom,House,4,"Jun 1st, 2023",3 Months,1,No,Male / Female,10/04/2023,484,,,house room available summer rental bru na gruadan elm park castletroy,97,380,Limerick,1
"Cuil Duin Avenue, Citywest, Co. Dublin",Double Room,Shared Bathroom,House,1,"Apr 13th, 2023",6 Months,2,Yes,Male / Female,21/03/2023,378,,,hoste power agency provide affordable accommodation ireland since 2014 proud advertise fully furnish comfortable private room house equip modern convenience share welcome host bill electricity gas etc wifi include rent bedding provide book room fast way book room please go website alternatively please reply ad detailed self description room ref 32000a,551,1000,,8
"Quay Road, Fethard-On-Sea, Co. Wexford",Double Room,Shared Bathroom,House,1,Immediately,6 Months,2,Yes,Male / Female,12/04/2023,38,52.1894747,-6.8298138,hoste power agency provide affordable accommodation ireland since 2014 proud advertise fully furnish comfortable private room house equip modern convenience share welcome host bill electricity gas etc include rent bedding provide book room fast way book room please go website alternatively please reply ad detailed self description room ref 32875,540,600,Wexford,8
"Dublin Road, Longford",Twin Room,Shared Bathroom,House,1,"Jun 11th, 2023",6 Months,2,Yes,Male / Female,11/04/2023,83,53.7233664,-7.7772392,hoste power agency provide affordable accommodation ireland since 2014 proud advertise fully furnish comfortable private room house equip modern convenience share welcome host bill electricity gas etc wifi include rent bedding provide book room fast way book room please go website alternatively please reply ad detailed self description room ref 42935,549,360,Longford,8
"Tynan Hall Grove, Tallaght, Dublin 24",Single Room,Shared Bathroom,House,1,Immediately,6 Months,2,Yes,Male / Female,21/03/2023,699,53.3074376,-6.3735755,hoste power agency provide affordable accommodation ireland since 2014 proud advertise fully furnish comfortable private room house equip modern convenience share welcome host bill electricity gas etc wifi include rent bedding provide book room fast way book room please go website alternatively please reply ad detailed self description room ref 13608b,551,740,Dublin 24,8
"rosmore road , Ballyfermot, Dublin 10",Double Room,Shared Bathroom,House,1,"May 1st, 2023",6 Months,1,Yes,Female,11/04/2023,351,,,available sunday evening friday afternoon double bedroom fabulous terrace property locate 6 kilometre dublin city centre ideally locate close ballyfermot college education kylemore music college fas short stroll several bus link city centre 20 minute household bill include gas electric cable wifi water &#9; small deposit rate room 150 per week pay every 4 week advance,520,600,Dublin 10,9
"20 Mostrim Oaks, Edgeworthstown, Edgeworthstown, Co. Longford",Single & Double Room,Shared Bathroom,House,2,Immediately,11 Months,1,No,Male / Female,13/04/2023,"1,155",53.6935685,-7.6134129,3 bedroom terrace house locate quiet estate main town edgeworthstown longford 15 walk railway station dublin sligo route bus stand 10 min walking 10 15 walk town center close amenity 2 min drive n4 available let short term long term rent include internet bin electricity oil bill separate short let also consider deposit reference require preferable tenant clean tidy non smoker house please email text please send brief detail,581,400,Longford,11
