Adress,Price,Room,Bath,Property_type,Bedrooms_available,Available_from,Available_for,Sharing_with,Owner_occupied,Preferences,Description,Date_entered/renewed,Property_views
"Cartur Mor, Knocknacarra, Co. Galway",Ä150 per week,Double Room,Shared Bathroom,Apartment,1,Immediately,1 Year +,2,No,Female,"DescriptionOne lovely double room with sole use of the main bathroom with electric shower to let in  fabulous bright townhouse apartment in a lovely quiet cul de sac in Cartur Mor.  Bedroom and apartment has just recently been repainted.  Very clean living areas.  Sharing with two other females.  All mod cons including fast wifi.  Small storage shed outside.  Free parking for tenants.  Bus stop to city centre right outside apartment.  Non smoking. No pets allowed. within walking distance of dunnes, aldi, lidl and a few minutes drive to salthill.

Bins included in rent
Text or email only please",07/04/2023,655
"Monksfield , Dungarvan, Co. Waterford",Ä550 per month,Double Room,Shared Bathroom,House,1,"May 15th, 2023",9 Months,1,Yes,Male / Female,"DescriptionRoom to rent Sunday/Monday to Friday (5 nights) Newly built house, living with 1 other. Double room with private bathroom. Suited to a tidy, quiet and easygoing person. Close to all local amenities. Wifi available.
Watsapp any time and will respond after work.",09/04/2023,555
"Apartment 51, Shrewsbury, Donnybrook Castle, Still, Donnybrook, Dublin 4","Ä1,500 per month",Twin Room,En-suite,Apartment,1,Immediately,1 Year,2,No,Male / Female / +1 Person,"DescriptionLocated beside UCD, St Vincents hospital and the convenient shopping facilities of Donnybrook Village and The Merrion Centre, as well as  recreational amenities of Herbert Park, RDS show grounds, The Aviva Stadium, Bective and Old Wesley Rugby Grounds. Located on a major bus route with the 46a, 145, 39a and Aircoach stopping close by.",07/04/2023,540
"D14, Rathfarnham, Dublin 14","Ä1,550 per month",Double Room,Shared Bathroom,Apartment,1,"May 4th, 2023",6 Months,1,No,Male / Female,"DescriptionPrivate double room in a shared apartment.
This is NOT a full apartment, it is a private double room. The price is 1550 month. Please email if interested with some information about yourself.
The rent not included bills.",13/04/2023,42
"Tearmann Eala, Renmore, Co. Galway",Ä100 per week,Single Room,Shared Bathroom,House,1,Immediately,1 Year,1,Yes,Male,"DescriptionShort term or long term. All mod cons including broadband. Oilfired heating. All bills included in the rent (incl ESB and oil).  
Convenient location for those on eastern side of the city / city center and located on Ballyloughane Rd.  Local Amenities include Ballyloughane Beach, football pitches and Kingfisher Club. Very Near to GMIT. Sunday to Friday only. Phone calls only please.",05/04/2023,"1,931"
"8 Lohunda Drive, Clonsilla, Dublin 15, Clonsilla, Dublin 15",Ä775 per month,Double Room,Shared Bathroom,House,1,"May 1st, 2023",6 Months,1,Yes,Male / Female,"Description***Bills are included in the Rent ***
 
One Spacious Double room (no overnight guests) to rent in a quiet home overlooking beautiful green garden. Its owner occupied modern 4 bedroom semi-detached warm, clean and Non-smoking house.

All bills (Electricity, Gas, high speed broadband, bins) are included in the Rent.

Ample car park available on the road in front of house and it is free.

Located in 2 mins walk to the number 39, 39A bus stop and 10 mins walk to Coolmine train station which serves Docklands, Connolly and Pearse stations, giving easy access to city centre and all stations to Maynooth are also catered for. Very close to all amenities such as blanchardstown shopping center is just 15 minutes walking distance. 

The property has three toilets, two bathrooms with a bath and 24 hours hot water and heating system. Separate large living room and large Kitchen with doors that open on to garden. 
	
if you interested, please contact with some brief details about yourself.

One month rent deposit required and rent to be paid monthly in advance.
References required.",10/04/2023,"1,530"
"The Meadows, Dunboyne, Co. Meath",Ä180 per week,Double Room,Shared Bathroom,House,1,Immediately,6 Months,2,Yes,Male / Female,"DescriptionHosting Power agency, providing affordable accommodation in Ireland since 2014.

We are proud to advertise this fully furnished and comfortable private room.
The house is equipped with all modern conveniences and you share it with your welcoming host. 

All bills (electricity, gas, etc.) and WiFi are included in the rent!
All bedding will be provided too.

HOW TO BOOK THIS ROOM?
- For the fastest way to book this room, please go to our website
- Alternatively, please reply to this ad with a detailed self description.

Room Ref: 25330",21/03/2023,476
"Kilmoney Road Upper, Carrigaline, Co. Cork",Ä110 per week,Single Room,Shared Bathroom,House,1,"Jun 13th, 2023",6 Months,2,Yes,Female,"DescriptionHosting Power agency, providing affordable accommodation in Ireland since 2014.

We are proud to advertise this fully furnished and comfortable private room.
The house is equipped with all modern conveniences and you share it with your welcoming host. 

All bills (electricity, gas, etc.) are included in the rent!
All bedding will be provided too.

HOW TO BOOK THIS ROOM?
- For the fastest way to book this room, please go to our website
- Alternatively, please reply to this ad with a detailed self description.

Room Ref: 4465A",13/04/2023,70
"Lynden Court, Portlaoise, Co. Laois",From Ä450 to Ä600 per month,Single & Double Room,Shared Bathroom,House,4,Immediately,1 Year,2,No,Male,"DescriptionComfortable house in Lynden Court on the Ballyfin Road, Portlaoise. Convenient location with shops nearby and the town centre is walking distance. 

Quiet residential area. 
4 bedrooms available in total. 
3 Doubles - 1 person per room
1 Single
 
No smoking allowed
No pets allowed
Not a house for any parties.

Only 1 double room non-ensuite available now.",07/04/2023,367
"Geraldine House, Lyreen Manor, Maynooth, Co. Kildare",Ä700 per month,Double Room,En-suite,Apartment,1,Immediately,1 Year,2,No,Male / Female,"DescriptionDouble bedroom en suite available in a two bedroom first floor apartment in Lyreen Manor, Maynooth, Co. Kildare. 

I am a professional male in mid 30s (I keep the place clean and I am quiet ). This will probably suit a person best who is in a similar stage in life.

I also have a cat. He is a friendly chap, but he is also very vocal so bare that in mind. If you are a cat/animal lover it would be ideal, or he might get on your nerves.

This well finished apartment is in a great location just off the main street and as such is only a very short walk to all the local amenities, public transport, and the university.

Apartment comes with all the mod cons as well as private and secure parking space.

Bills are not included.

If you have any question or would like to view the apartment get in touch ASAP as properties in this complex go quickly.

The room will be available from 7 April 2023.",11/04/2023,851
"No. 9 Forest Mill Way, Bealnamulla, Athlone, Co. Roscommon",Ä600 per month,Double Room,En-suite,House,1,"Apr 24th, 2023",1 Year +,1,Yes,Female,"DescriptionTidy, considerate quiet person required to rent double ensuite bedroom in clean and spacious house. Close to all local amenities and on the bus route into town. Easy access to Athlone Bypass, Alkermis, and Alexion. Owner occupied. Deposit and references required please. Non-smoking house, female tenant only.",13/04/2023,572
"Apartment 7, House 7, Sandford Lodge, Sandford Clo, Ranelagh, Dublin 6","Ä1,350 per month",Double Room,En-suite,Apartment,1,Immediately,6 Months,1,No,Male,"DescriptionSandford Lodge, Ranelagh, Dublin 6.

Double room with private en-suite available to rent in a two bed apartment in the superb location of Sandford Lodge, Ranelagh.
Room comes with the added bonus of a secure underground parking space and access to an on-site gym.

Located on Sandford Close this spacious modern two bedroom first floor apartment includes a pleasant living area, well equipped kitchen-come-dining area and large balcony. All mod cons feature including SKY TV and broadband, central heating, washing machine, fridge, dishwasher, microwave.

This apartment enjoys an enviable location, a short stroll from vibrant Ranelagh Village with its many coffee shops, restaurants, boutiques and independent stores. It is also within walking distance of Donnybrook Village, Rathmines, St Stephens Green and Grafton Street.

Sandford Lodge is extremely well serviced by public transport and is a five minute walk to Dublin Bus stop 886 (route 11,44,61). LUAS stops at Beechwood and Ranelagh are both within walking distance and the M50 is easily accessed also. 

Sharing with one male professional.  Seeking one other male who is both a tidy and responsible tenant.
No smokers, no pets.
Initial rental period of 6months - may be possible to extend.
Rent is 1350 per month plus shared bills. A deposit of one month's rent is required. 

References from previous landlord required, as standard.

E-mail replies only. 
Include a short description of yourself please.

Viewing will be arranged by appointment.",13/04/2023,"1,065"
"Castlefarm, Dunboyne, Co. Meath",Ä850 per month,Single Room,Shared Bathroom,House,1,"May 1st, 2023",6 Months,2,Yes,Male / Female,"DescriptionDouble bedroom . House is located in a small quiet estate across the road from Dunboyne Train Station with train services to Dublin City Centre and Maynooth. Bus stop for Dublin Bus services to the city is located outside the entrance to the estate. Intel, MSD Dunboyne located in close proximity. 

House is not suitable for home working. No pets, guests or parties. No smoking. Bills to be shared between 3. One months rent as a deposit will be required. Stay can be for 6 months or shorter but also longer term can be considered. 

If you are interested please send an email outlining some details about yourself and why you need the room etc. and a viewing can be arranged.",14/04/2023,629
"Wheaton Hall, Drogheda, Co. Louth",Ä600 per month,Double Room,En-suite,House,1,"May 20th, 2023",6 Months,2,No,Male / Female,"DescriptionDouble bedroom ensuite available to rent in a three bedroom house. Shops, town centre and the train station, bus station are within 10/20 minute walk.
Room for 2 persons also possible, considered. 


First month rent and deposit is required. Available to move in from May,June .contact me by email or phone call.",10/04/2023,492
"Griffith College, Daniel O'connel, Griffith Colleg, Dublin 8",Ä190 per week,Double Room,Shared Bathroom,Apartment,1,Immediately,2 Months,3,No,Male,"DescriptionRoom
The room is a typical dorm/college room with two beds, two desks and two closets.
There is a common bathroom, which you will share with your roommate Soufine.
In the apartment there is a living room with a sofa and a large kitchen fully equipped with dishes, pots, pans, toaster, oven, microwave.
The whole apartment has two rooms a girls room and a boys room that always share two including bathroom.
The kitchen is shared by four.

Location
The Halls of Residence is located in Dublin 8 and within 20 minutes you can reach the City Center. Every few minutes there is a bus that leaves directly in front of the door, so you can be in the city center within 10 minutes.

The dormitory is located on the grounds of the Griffith Collage which is why there is a real collage vibe. For more info check out the website
The roommates life is super relaxed and you can relax and live together.
Big parties don't happen.
There are three flatmates:

Soufine is 23 years old. Love is 26. Ann is 28.

Other
If you are interested, everything is handled officially through the Student Accommodation Office.
Please note that you can only rent one bed so this offer is best suited for students, not for families or couples!
It is male only, because the bed is in the boys room, and thats the rule of the Collage. 
There is a security service 24/7",11/04/2023,"1,185"
"12 Clare Street, Dublin 2, Dublin 1","From Ä850 to Ä1,790 per month","Double, Twin & Shared Room",Shared Bathroom,House,3,Immediately,3 Months,3,No,Male / Female / +1 Person,"DescriptionBeautiful house in the heart of Dublin South City Centre just a short stroll to Trinity College, Grafton Street and Dublins commercial and retail centre.

Surrounded by Dublins best restaurants and bars this house is maintained to a very high standard and neighbours the prestigious Merrion Square where Oscar Wilde and the Duke of Wellington had their family homes.

We have twin/double room available for 895 + bills per person
We have shared rooms available for 850 + bills per person sharing.

WhatsApp Dermot  if these are of interest.",13/04/2023,"2,359"
"Bushy Park House, Terenure, Dublin 6","Ä1,160 per month",Double Room,En-suite,House,1,"May 1st, 2023",1 Year,2,No,Male / Female,"Description*DOUBLE BEDROOM*PRIVATE BATHROOM*BILLS INCLUDED* UNDERGROUND PARKING SPACE*

Double bedroom available in a town house in Terenure. You will have your own private bathroom. All bills included in rent (cable tv, broadband, gas, electricity). Parking space in secure underground carpark.

You will be sharing with 1 male & 1 female couple, both in our mid 30's, and our friendly dog. The house includes two living rooms, a bright kitchen/dining area overlooking garden with shed for storing bikes and a shared office/study. Fully fitted kitchen with dishwasher, washing machine, fridge/freezer, electric hob and microwave.

Excellent transport links with m50 easily accessible. 20 mins to city centre by bus, serviced by many routes, 15, 49, 65, 65b. Located right beside the park and walking distance to Templeogue and Terenure village.

If you're interested please send me an email with a bit of info about yourself and I can send over more pics & info.

 The room is available now. Security deposit is one months rent. Available for 6 months or 1 year +",11/04/2023,407
"Wilton Manor, Wilton, Co. Cork",Ä440 per month,Double Room,Shared Bathroom,Apartment,1,"May 2nd, 2023",1 Year,2,No,Male / Female,"DescriptionPlease email all enquiries to our office.

Trading Places are delighted to bring this one double bedroom to rent in this large and bright apartment in immaculate condition.

Secure parking and refuse cost included in the rent p.c.m. 

Excellent location only minutes to CUH and Wilton Shopping Centre. 20 minutes to Cork city centre.

No pets.

One male and one female tenant living in the apartment.

PSRA License No.: 001629.",06/04/2023,"2,606"
"Woodford View, Ballyconnell, Co. Cavan",Ä150 per week,Double Room,En-suite,Apartment,1,"Jul 3rd, 2023",1 Year,1,Yes,Male / Female,"Description**TENANT will have the apartment to themselves MOST OF THE TIME.**

Enquiries by Email Only

Newly renovated two-bed apartment, one bedroom for rent, in a very quiet location. Accessible to all amenities. 5 minutes walk to Ballyconnell town. 1km to the Slieve Russell Hotel & Golf Club. Approximately, 20 mins drive to a wide range of amenities in Cavan Town and 30 mins to Enniskillen.

The apartment consists of a living room, kitchen/dining room, bathroom (for exclusive use by the tenant), double bedroom, and balcony. Enjoy idyllic views over the Woodford Canal (Shannon/Erne Blueway), marina and surrounding countryside. 

Other important information:
 - No pets or smoking in the apartment.
 - References will be required, plus valid ID 
 - Storage heating and smart electricity meter installed
 - Heat/electricity bills are not included in the rent
 - Refuse charge is included in the rent 
 - One months rent and deposit (500) will be required on move-in date.",09/04/2023,151
"Millmount Road, Mullingar, Co. Westmeath",Ä120 per week,Single Room,Shared Bathroom,House,1,Immediately,6 Months,2,Yes,Male / Female,"DescriptionHosting Power agency, providing affordable accommodation in Ireland since 2014.

We are proud to advertise this fully furnished and comfortable private room.
The house is equipped with all modern conveniences and you share it with your welcoming host.

All bills (electricity, gas, etc.) are included in the rent!
All bedding will be provided too.

HOW TO BOOK THIS ROOM?
- For the fastest way to book this room, please go to our website
- Alternatively, please reply to this ad with a detailed self description.

Room Ref: 16587",12/04/2023,102
"Kingswood, Baldonnell, Dublin 22",Ä850 per month,Double Room,En-suite,House,1,Immediately,1 Year +,4,No,Male / Female,"DescriptionAmazing very large ensuite room in large detached period style house on its own site close to local business parks, transport, and surrounded by beautiful greenery.",08/04/2023,402
"1 Coolshannagh Close, Monaghan, Co. Monaghan",Ä100 per week,Double Room,Shared Bathroom,House,1,Immediately,1 Year,1,Yes,Male / Female,"DescriptionThis room is available for one year for 
4/5 nights per week. Would suit someone who has a temporary position in Monaghan. 
My house is in close proximity to the Monaghan General Hospital and St Davnets Hospital.Very close to St Macartan,s College, Monaghan Institute and Colaiste Oiriall.
Within walking distance to bus and Garda station and Lidl.
5 minutes to Monaghan town centre.

All bills are included..
Please note this room is only available 4/5 nights.",12/04/2023,"1,065"
"Castle Road, Blackrock, Co. Cork",Ä110 per week,Single Room,Shared Bathroom,House,1,"Jun 1st, 2023",6 Months,2,Yes,Female,"DescriptionHosting Power agency, providing affordable accommodation in Ireland since 2014.

We are proud to advertise this fully furnished and comfortable private room.
The house is equipped with all modern conveniences and you share it with your welcoming host.

All bills (electricity, gas, etc.) and WiFi are included in the rent!
All bedding will be provided too.

HOW TO BOOK THIS ROOM?
- For the fastest way to book this room, please go to our website
- Alternatively, please reply to this ad with a detailed self description.

Room Ref: 10883",10/04/2023,535
"Charnwood Heath, Clonsilla, Dublin 15, Clonsilla, Dublin 15",Ä760 per month,Double Room,Shared Bathroom,House,1,Immediately,1 Year,1,Yes,Male / Female,"DescriptionLarge Double Room with fitted wardrobes available in 4 bed house. The house is situated in a quiet area of Clonsilla. Bus, Train and all local shops including Lidl are only 3-10 mins walk. Blanchardstown Shopping Center only 15min walk. Sharing with 2 professional friendly males. The house has all mod cons. 1 GB Internet, Cable TV etc.... 
Bills Extra

Enquiries by Email or Phone(After 5pm)",13/04/2023,"4,503"
"18 The Oaks, Riverbank, Annacotty, Co. Limerick",Ä650 per month,Double Room,Shared Bathroom,House,1,"Jun 9th, 2023",6 Months,2,Yes,Female,"DescriptionFemale Accommodation:

Room available from 09 June

All utilities bills included
Available for any duration, just ask


Warm and beautiful large detached house in a very quiet, prestigious estate, in cul-de-sac, with private garden. Strictly no parties, no guest allowed in order to provide comfortable and pleasant stay for all living in the house. Looking for quiet and tidy tenant. Viewing highly recommended

Please give a short description about yourself

All utilities bills included, 650 euro per month, one month deposit, bed linens and towels included, fast WiFi, bike storage and car parking, no pets, no smoking, full access to kitchen, a separate fridge/freezer shared between tenants. Main bathroom for tenants' sole use

Close to the University of Limerick

Bus stop 5 min walk, bus to city center

Plenty of shops and services around the estate",12/04/2023,"1,078"
"Main Street. , Monasterevin, Co. Kildare",Ä720 per month,Double Room,En-suite,House,1,Immediately,1 Year,1,No,Female,"DescriptionOne Room to rent for one in bright and spacious Georgian house. 
Private En-suite bathroom and living area. 
Viewing is advised.
Please apply with a little bit about yourself.",02/04/2023,894
"Low Road, Bunratty, Co. Clare",Ä180 per week,Double Room,En-suite,House,1,Immediately,6 Months,1,Yes,Male / Female,"DescriptionSingle rooms available to rent 
Bunratty area 
7 minute drive to Shannon airport
Rooms en-suite available with FREE wifi and tv
Rate includes bins, electricity, heating, hot water etc and weekly room servicing. 
Private sitting room and dining facilities included
1-3 nights - 40e per night
4+ nights - 35e per night 
Weekly rate - 180e

Short term or medium term availability. 
Please phone/message Joe for further information.",05/04/2023,198
"3 Carraig Geal, Galway Road, Loughrea, Loughrea, Co. Galway",Ä650 per month,Double Room,Shared Bathroom,House,1,Immediately,1 Year,1,Yes,Male / Female,"DescriptionDouble room to rent in newly renovated owner occupied house. Ten minutes walk from Loughrea town centre, half hour drive from Galway. 
It is a nice, quiet estate beside the lake. 
No pets allowed. 
All bills (TV, Internet, Bins, ESB) included, except for heating oil
Please send me an email telling me a little bit about yourself.",06/04/2023,"1,210"
"103 Fairview Close, Richmond Avenue, Dublin 3, Drumcondra, Dublin 3",Ä750 per month,Double Room,Shared Bathroom,Apartment,1,"May 1st, 2023",1 Year +,1,No,Male / Female,"DescriptionDouble room with private use of main bathroom. 
Located between Drumcondra and Fairview. 20 minute walk to city centre. 
Located close to bus routes in both Drumcondra and Fairview and Dart available within walking distance. 
Sharing with one other who works shifts. Parking if required available for additional cost.",10/04/2023,"2,197"
"99 Lower Kilmacud Road, Stillorgan, Blackrock, Kilmacud, Co. Dublin","Ä1,299 per month",Twin Room,En-suite,House,1,Immediately,1 Year +,6,No,Male / Female,"DescriptionLocated in Stillorgan.  Close to a lot of bus routes, Stillorgan shopping centre, LUAS etc.

Please text/Whatsapp.  My number is 0862555555",13/04/2023,94
"28 Richmond Street South , Portobello, Dublin 8","Ä1,000 per month",Double Room,Shared Bathroom,House,1,Immediately,1 Year,3,No,Male / Female,"DescriptionHi,
Large double bedroom available from 9th of April.
Situated in the very best area of Dublin just beside Portobello bridge, 10 minutes walk from St. Stephens Green and Grafton Street.

Room description>
- 1 large double bed
- 1 large double wardrobe
- 1 chest of drawers
- 1 bedside locker
- 1 full length mirror
- 1 study desk

There is a large kitchen and dining area with all the utensils, also a washing machine and tumble dryer for laundry. There is a spatious living room and a bathroom with a newly installed shower.

Tesco, Lidl, Aldi, Centra and Spar are all under 5 min walking distance from the house for all the shopping you need. Camden street and Rathmines are also 5 min walk from the house. There are some of Dublin finest restaurants, pubs and clubs in this area. Bus stop is 1 min walking distance from the house and the green Luas line (Harcourt street station) is 5 min away from the house.

Price - 1000 euros a month (bills included) 

Deposit - 1000 euros

ALL BILLS ARE INCLUDED (Electricity, gas, water, heating and WiFi)


Please feel free to contact me if you are interested in a viewing.

Kind regards

Marko",13/04/2023,895
"Loughlinstown Road, Elm Hall, Celbridge, Co. Kildare",Ä140 per week,Double Room,Shared Bathroom,House,1,Immediately,3 Months,2,Yes,Male / Female,"DescriptionDublin Host Families are proud to offer a bedroom in this stunning detached family home located in a rural position 1 kilometre to Hazelhatch/Celbridge Train Station linking you to Dublin City Centre in less than 20 minutes.

Ideally situated close to INTEL, with a company feeder bus passing by the front of the property.

There is ample parking at the house in the large grounds of this property.

All household bills are included (gas, electric, cable, wifi, water)
	
There is also a continental style breakfast included in the price.

You do not have to pay any security deposit.

The rate for the room is Ä140 per week (5 nights) / Ä180 per week (7 nights) and it is paid every 4 weeks in advance.

The minimum stay is 3 months and would be available for up to 6 months.

Please e mail to check availability or to arrange a visit.",13/04/2023,343
"Rokeby, Grangebellew, Co. Louth",Ä150 per week,Double Room,Shared Bathroom,House,1,Immediately,6 Months,2,Yes,Male / Female,"DescriptionHosting Power agency, providing affordable accommodation in Ireland since 2014.

We are proud to advertise this fully furnished and comfortable private room.
The house is equipped with all modern conveniences and you share it with your welcoming host. 

All bills (electricity, gas, etc.) and WiFi are included in the rent!
All bedding will be provided too.

HOW TO BOOK THIS ROOM?
- For the fastest way to book this room, please go to our website
- Alternatively, please reply to this ad with a detailed self description.

Room Ref: 40515B",21/03/2023,164
"9 Russell Court, Proudstown Road, Navan, Navan, Co. Meath",Ä600 per month,Double Room,Shared Bathroom,House,1,Immediately,1 Year +,2,Yes,Male / Female,"DescriptionLarge double room available for rent in a small, quiet residential estate. Close to Navan town centre and plenty of other amenities. 

Television, high-speed broadband and bins included. Electricity and gas bills will be split equally. 

Separate living area which will be shared with one other tenant. Bathroom will also be shared with one other tenant. 

Deposit of one month rent required. References appreciated.",12/04/2023,"1,155"
"Baroda Court, Newbridge, Co. Kildare",Ä450 per month,Double Room,Shared Bathroom,House,1,Immediately,1 Year,1,Yes,Male / Female,"DescriptionLovely Quiet Estate, Close to Lidl factory, Pfizer factory and the town.. 
SUNDAY  to FRIDAY Accomodition ONLY.. Non smoker..Must be clean, street parking at your own risk, no driveway parking. Please 'Ring only' for queries about this accomadition on 0876271089.",10/04/2023,"2,316"
"Dungarvan, Co. Waterford",Ä125 per week,Double Room,Shared Bathroom,House,1,Immediately,3 Months,2,No,Male / Female,Description125 per week or 25 per night. All bills included. Would suit Mon-Fri.,02/04/2023,292
"Tinnakilly, New Ross, Co. Wexford",Ä160 per week,Single Room,Shared Bathroom,House,3,Immediately,6 Months,2,Yes,Male / Female,"DescriptionDetached house with secure off street parking. Spacious modern interior and large landscaped gardens.  No Pets allowed.

Comfortable single rooms available for let .

2 Weeks Deposit plus 1 Weeks rent in advance required.",31/03/2023,328
"42 Castlewell, South Circular Road, Co. Limerick",Ä600 per month,Double Room,Shared Bathroom,House,1,"May 1st, 2023",4 Months,2,No,Male / Female,"DescriptionAvailable from the beginning of May 2023, for a minimum of 4 months, potential option to extend. Male or Female. 

PLEASE DO NOT COME TO THE HOUSE UNTIL CONTACTED for a viewing. 

Lovely Double bedroom available in a 3-bedroom house (shared with a couple) in the much sought after South Circular Road area in a quiet estate. Short 15 min walk to the Crescent shopping centre and 20 min walk from the city centre. Mary Immaculate College, bike share and bus stops also within a 5-10 min walk.

Currently sharing with a professional couple.  Looking for someone who is highly observant of cleanliness, quietness, good order and upkeep of a positive home environment. 

The upstairs bedroom available is a double with your own bathroom. Ample car park space in drive/street parking and a lovely garden.

600 euros/month + bills (Internet/Gas/Electricity/bins)


Please email/message that introduces yourself with references and any other relevant information.",11/04/2023,"1,081"
"kilmantin Road, Wicklow Town, Co. Wicklow",Ä550 per month,Single Room,Shared Bathroom,House,1,Immediately,3 Months,2,Yes,Female,"DescriptionSea view. Small cosy, home to share with mother and grown up daughter. 5 minute walk from Wicklow Town and buses. 25 minute walk to train station.",10/04/2023,387
"Dunboyne Castle, Dunboyne, Co. Meath",Ä150 per week,Single Room,Shared Bathroom,House,1,"Apr 24th, 2023",1 Year,1,Yes,Male / Female,"DescriptionSingle room available to rent 

- 45 mins train journey to city centre.
- 15 mins to Blanchardstown shopping centre.
- 25 mins to Dublin Airport.
- Companies in the area include eBay, Facebook, Intel 
- MSD Pharmaceutical, Avoca and multiple companies 
  operating in Damastown industrial park. 
- IT Blanchardstown and Maynooth University closeby. 
- 10 mins walk to Dunboyne college of further education",13/04/2023,57
"Rosmearan, Dunmore, Co. Galway",Ä190 per week,Double Room,Shared Bathroom,House,1,Immediately,6 Months,2,Yes,Male / Female,"DescriptionHosting Power agency, providing affordable accommodation in Ireland since 2014.

We are proud to advertise this fully furnished and comfortable private room.
The house is equipped with all modern conveniences and you share it with your welcoming host. 

All bills (electricity, gas, etc.) and WiFi are included in the rent!
All bedding will be provided too.

HOW TO BOOK THIS ROOM?
- For the fastest way to book this room, please go to our website
- Alternatively, please reply to this ad with a detailed self description.

Room Ref: 27037",31/03/2023,117
"Rathdown Park, Greystones, Co. Wicklow",Ä180 per week,Single Room,Shared Bathroom,House,1,Immediately,6 Months,2,Yes,Male / Female,"DescriptionHosting Power agency, providing affordable accommodation in Ireland since 2014.

We are proud to advertise this fully furnished and comfortable private room.
The house is equipped with all modern conveniences and you share it with your welcoming host. 

All bills (electricity, gas, etc.) and WiFi are included in the rent!
All bedding will be provided too.

HOW TO BOOK THIS ROOM?
- For the fastest way to book this room, please go to our website
- Alternatively, please reply to this ad with a detailed self description.

Room Ref: 43059B",04/04/2023,237
"49 Foxrock Avenue, Dublin 18, Dublin 18",Ä300 per week,Single Room,Shared Bathroom,House,1,Immediately,6 Months,1,Yes,Female,"DescriptionQuiet home convenient location near 46a bus, UCD and IADT, toy poodle calls
this house his home also!",09/04/2023,965
"155 Oaklawns, Dundalk, Dundalk, Co. Louth",Ä130 per week,Single Room,Shared Bathroom,House,1,Immediately,1 Year,1,Yes,Male / Female,DescriptionSingle room to rent Monday to Friday only . Call for details and to arrange a viewing .,11/04/2023,"1,234"
"04 Lee Park Shannon , Shannon, Co. Clare",From Ä165 to Ä225 per week,Single & Double Room,Shared Bathroom,House,2,Immediately,1 Year,2,No,Male / Female,"DescriptionLuxury Double Room available in newly refurbed modern Townhouse in quiet family area. Great location near all Shannon work areas, just 3 mins walk to Shannon Industrial Estate and Limerick Bus Stop.  House overlooks a green area, has lovely riverside walks nearby, rear garden, free parking. Location is perfect for Shannon Industrial Estate, New Park, Riverside walks , Town Centre, Smithstown Industrial Estate ,Shannon Leisure Centre, and the Airport. Excellent condition throughout, all rooms have desks for remote work. Modern Kitchen and appliances with Broadband and  TV. Fully furnished and comes finished to the highest standards. Flexible on length of stay.",10/04/2023,"2,232"
"10 Parklands, Port Road, Killarney, Fossa, Co. Kerry",From Ä550 to Ä600 per month,Double Room,Shared Bathroom,House,2,"Apr 24th, 2023",1 Year,2,Yes,Male / Female,"DescriptionDetached house in a private gated estate in a wonderful location on the Port road just off the ring of Kerry.

2 rooms available.

Free parking. 

Access to Killarney National Park across the road. 


10 minutes walk from town center.
Supermarkets, bars, restaurants, walks etc. within minutes walk. 

Owner present, average 1 - 2 days a week.",14/04/2023,198
"73 Boheraroan, Newmarket on Fergus, Co. Clare",Ä680 per month,Double Room,Shared Bathroom,House,1,"Apr 23rd, 2023",6 Months,1,Yes,Female,"DescriptionA double room suitable for a female will be available to rent soon from Sunday 23rd April (Monday to Fridays only). Looking for a friendly and quiet woman to share with two women in a comfortable and clean three bedroom house. Located in a safe area looking onto pretty Lake Gosh. The room has a good quality bed, wooden floors, large fitted wardrobes and plenty of storage, and is overlooking the garden. Main bathroom shared with just one other woman. All modern conveniences.

Safe parking. Short walk to village shops and all services. Various walking /running routes and park nearby. 
8 mins drive  to Shannon, 15 to Ennis, 20 mins to Limerick. Bus stop 5 mins away for route 343 to Shannon and Ennis. One month security deposit (cannot be used as the last month's rent).  References and I.D. required. Bills are included. For non-smokers only, no pets. For a woman only.",05/04/2023,185
"Slade castle, Saggart, Co. Dublin",Ä700 per month,Double Room,En-suite,Apartment,1,Immediately,1 Year,1,Yes,Male / Female,"DescriptionLarge en suite double room in modern apartment. 3 bedroom apartment, with only 1 person owner occupier. 
Owner spends a lot of time out of the apartment so reliable tenant essential.",12/04/2023,442
"32 Glen Dara, Ard Cashel, Watergrasshill, Cork, Watergrasshill, Co. Cork",Ä650 per month,Double Room,Shared Bathroom,House,1,"May 3rd, 2023",6 Months,2,Yes,Male,"DescriptionLarge double room in Watergrasshill with the predominant use of the main bathroom. The room is in an A rated, warm, 3 bed semi-detached house. Looking for a clean and friendly housemate to share with a couple (owners) and a dog.

Strictly no smoking. Plenty of parking available. Substantial outdoor space at the back of the house. Not looking for additional pets in the house. Rent of E450 per month includes household 1GB fibre broadband, TV, electricity, and bins).

House in is a great location; Watergrasshill has a number of great pubs/bars and a large Centra. 10 mins drive to Jack Lynch Tunnel & Glanmire, 15 mins drive to Blackpool & Mahon Point.

Please contact by email only and please include a bit about yourself. References are preferable. One month deposit & one month in advance will be required.",14/04/2023,"3,527"
"Taney road, Dundrum, Dublin 14",Ä800 per month,Single Room,Shared Bathroom,House,1,Immediately,9 Months,1,Yes,Male / Female,"DescriptionA comfortable house on a quiet street. It has a great location very close to Dundrum Shopping centre. It is perfect for students commuting to UCD. The house has a fully equipped kitchen and two bathrooms. The room is fitted with a desk, single bed and a wadrobe.",09/04/2023,666
